Pseudo,Title,Review,Rating,Verified Purchase,Date
Assault Kittens,"
Really good option for portability.
","
This laptop is very impressive for its form factor. Really good balance of size, weight, and power. There are many more powerful options out there, especially for the components used here, but for this size of a computer it does a fine job. The screen brightness was a major concern of mine when ordering since brightness wasn't disclosed anywhere, but to my surprise it appears to be between 400 and 500 nits. Far exceeds 300 nits, at least by my own eyes (will have to measure).Fans do shut off at idle and have a very low speed setting for small tasks. Makes for an excellent ultrabook and game on-the-go device. Speakers need tuning, it has thx software to deal with. Wish it was just good out the box but I'm working on it, I think they can be dialed in well.Overall if your desire is like mine, a superb build quality laptop that does lots of things right in a small package, and is capable of gaming, this is a good option. I'm keeping mine.
",4.5 out of 5 stars,Verified Purchase,"Reviewed in the United States on June 18, 2021"
Kenneth Cramer,"
Excellent portable gaming laptop
","
I'm writing this review for anyone who's on the fence about purchasing this laptop - since I was one. I was really confused between my personal favourite Alienware and Razer Blade 14 Ryzen. I do love Razer peripherals - I use the Blackwidow V2 TKL and Deathadder V2 Pro for my setup. The decision was based on several factors like trading Thunderbolt for USB C, missing Ethernet port, external GPU for future upgrades. I'll just answer those questions and hopefully, it'll help someone. First of all, USB C is not a huge trade-off because the 3.1 gen 2 supports 10Gbps which is plenty for any kind of connection - high poll-rate gaming keyboards and mice, 4K gaming monitor and any docking station. I read many articles about gaming using a docking station, and frankly, if it is not an EGPU enclosure doubled up as a dock, none support gaming. You can still connect the gaming KB and Mouse over the USB C dock so that takes care of the major problem. I used a USB - C to DP to connect my Samsung C27HG7x 144hz monitor and I'm able to get the full refresh rate without any problems. The HDMI 2.1 port would also obviously work. I have 2 monitors hooked up to the laptop(the 2nd one is FHD Acer R240HY), a dock connected using the other USB C port to connect my Keyboard (for charging or wired connectivity), Razer Goliathus extended gaming pad (chroma), and my Fifine Microphone. I also used one of the USB A ports, which supports the 10Gbps bandwidth to connect my KB and DA mouse wirelessly (2.4Ghz). I don't intend to carry it around and essentially use it as a desktop replacement so given the above configuration, it is a pretty clean setup.Just to add - with the RTX 3070 in place, you won't need an EGPU enclosure anytime soon.I specifically provided the device names so that you can look up the specifications and ensure what is indeed supported if you were to look for a similar setup.About the laptop components itself, the screen is brilliant, the high refresh rate is awesome, the keyboard is also pretty good although I use my mech KB most of the time. But I just have to mention the glass touchpad. I use an MBP 13 for work and coming from that mouse pad I never came across a windows laptop that matched its touchpad quality. But the Razer Blade pretty much nailed it this time - it is absolutely brilliant. The feel is so premium and the multi-finger gesture (I use the 2 finger scrolling a lot) is just flawless. For other components, there are tons of reviews out there so I just wanted to mention this one thing that was my personal experience and I absolutely loved. To anyone upgrading or going for a new gaming laptop that also looks premium and does not scream gaming - go for it!
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 7, 2021"
Assault Kittens,"
BEST 14inch Laptop in the World
","
I sold my M1 MacBook for this, and it was one of the best decisions in my life.If you've used MacBooks for years and now are switching over to Windows Laptops, Razer is the place to go, with Apple level built quality and fantastic overall aesthetics.The performance with my 3070 model is phenomenal, with the trade-off of fan noise and battery life.
",1.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on June 18, 2021"
Assault Kittens,"
Was great till it wasn't
","
This laptop started off excellent. Screen looked great, Track pad was great. Started to download a few games and the Wifi went out. The Bluetooth still worked but no wifi. Called razer, they sent me an email for me to troubleshoot. Then I was to email them with what I found out. Really Razer? After spending $2,100 I have to do your job. Will not buy another Razer. This laptop was in my possession for just hours. On its way back to amazon. Better customer service could have saved this.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 7, 2021"
Tanmay,"
solid laptop
","
pros:1) keyboard: razer laptops are still the keyboard I type the fastest on, also per-key RGB2) steady 100 watts, razer promissed 100, and it delivers, in game the GPU pulls a steady100 watts throughout gameplay. For comparison, the G14 promissed 80 watts, and even if you carefully manage CPU wattage, the G14 usually only delivers around 70 watts.3) even at 100 watts, the GPU temps never exceed 65 C4) battery life delivers: with updated graphics drivers, keyboard light off, screen at lowest brightness, and power saving mode on, I can get 16 hrs of video streaming on youtube. If you make some sacrifices and manage power draw well, this could be an all day battery.5) overall gameplay is really really good with very high 1% lows6) screen + touchpad are both low latency, which makes scrolling around a heavenly smooth experience7) CPU is 8 cores and can hit nearly 4.6 GHz. ""boost"" in razer synapse allows it to run at nearly 80 watts8) build quality: amazing. This laptop feels so solid in your hands with no flex whatsoever9) A breath under 4 lbscons:1) it does not come with the GaN charger that Razer has been sending to influencers with this product.2) CPU not cooled so well. I've seen it hit 100 C, and it often hovers around 90 in game3) RAM is awfully low bandwidth. Seems to work well in games, so maybe not an issue, but my RAM benchmarks have been pretty disappointing (especiallly considered it can not be replaced)Overall:A gaming laptop is for doing work, hobbies, and gaming with seamless transitions from your desk to on-the-go. For this, the cons I listed above are relatively small issues in the face of the pros which cover the important things, so I give this 5/5.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 1, 2021"
XG Zepto,"
The Golden Standard
","
I was weighing my options between getting a full desktop pc and or getting this Razer. No other laptop even had my considerations. I work in the tech field as a sr. engineer and what drew me to this is the apple like quality. Well, now that I own this Razer I can confirm everything they say is true.Pros:1) Packaging is mostly (you can still tell its a pc) discreet. There is no indicator this is a high-end gaming pc.2) Internal packing is well protected and compartmentalized. Everything was packed with the highest level of care.3) Device and peripherals were / are flawless in appearance.4) Performance is actually good enough that I won't get a gaming desktop for a couple years. Instead, I'll get a usb-c dock and if needed an eGPU from razer. In fact I speculate the Egpu setup with this process would be an amazing combo since the heat buildup of the iGPU would be offloaded to external device.5) Very little if any bloatware.6) FPS in games like Cyberpunk2077 with everything set to Ultra (and pyscho), including ray-tracing, produces an average of 30-45 frames per second using native resolution. While in the e-sports world this isn't viable (but then again e-sports titles aren't competitively played on ultra...) , setting resolution to 1080 adds 30 or so more frames and turn set ray-tracing to medium with balanced DLS and you can above 100fps in games like Cyberpunk 2077. I, however, prefer to play on my ultra-plush eye-gasmic settings and in an rpg-fps 30 fps is very playable, especially with build in G-sync!!!Honestly, Razer did it. They compelled a desktop gaming nerd to buy their tiny, gorgeous, gaming laptop and I applaud Razer for all that they managed to accomplish when the brought this laptop to market.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 7, 2021"
XG Zepto,"
A Small, But Very Powerful Device
","
Review is based of having the computer as a daily driver for a week. This meant all my gaming and media consumption was off of this machine. I have used this machine ""docked"" to an external keyboard and monitor during the day at my desk, and use it as a standard unplugged laptop at night.The TLDR is this is a high quality device with few flaws. The flaws I will mention are, admittedly, on the nitpicky side.At the end of the day, sure there are very many other laptops which can match the Razer Blade 14's performance and specs at a lower price, but that is at the cost of build quality. That will be very important if you choose to use this as a portable device. I highly recommend that if you wanted a high powered portable machine, you consider the Razer Blade 14.Pros:- Handles Next Gen Gaming at QHD Flawlessly.I am able to play competitive games at high - max setting with framerates around 70 - 90 FPS. Halo Infinite's multiplayer beta ran at such performance for my extended gameplay sessions of 4 to 6 hours. Other popular games which aren't as demanding, such as FF14, Risk of Rain 2, would stay about 100 FPS around the 120 - 160 FPS range. Basically, anything that has come out in the last 10 years can expect very high frame rates at maximum settings.- Great Temperatures.Gaming laptops run hot when pushed, that is to be expected. But this machine is able to maintain good temps while gaming for long periods. And when unplugged, I am able to use the machine for basic streaming and browsing without creating any heat.- Apple Level Build Quality.This is essentially a black Macbook with crazy specs inside. Everything feels really solid and sturdy. The device has a very nice heft to it. The trackpad is very reminiscent of a Macbook's track pad, which is a good thing. It clicks with good feedback and is very responsive all while having a nice matte texture to it.- Great Display.Nothing much to say here, the colors on the screen are very good and I didn't have much issue play games using the built in screen, though much of my experience has been through an external monitor. The screen is perfect for media consumption.- Great Battery Life.The battery lasts around 5-7 hours streaming media and browsing with some screen brightness down and the RGB keyboard at a dimmer level (I like to keep it on because it looks cool). Like all laptops, don't expect the battery life to be that long when running games or resource heavy programs like a video editor or compiling and running code.Cons:- Very Shallow Keyboard.Its a decent laptop keyboard but lacks the travel of other laptop keyboards  I have in the past and doesn't come off as very tactile. Not a big problem for me, who used it attached to an external mechanical keyboard and monitor.- Razor Software.In the past I would call this bloat but Razor has seemed to improved their software to be very straightforward. This is listed as a con because the software is very insistent that you create a Razor account to use it, and a lot of important features such as the fan speeds and performance tuning are locked behind the software.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 23, 2021"
Kenneth Cramer,"
The King of 14
","
Heat: It does get hot. CPU and GPU under normal temps, but the exterior top of keyboard gets really hot.Gaming: plugged or not, games have been functioning well. FF14, World of Warcraft, older games ran so far.Battery: Minimum 4 hrs on regular work use (communicators, chrome with at least 12 tabs open and 2 instances running, messenger, VLC for video playback). 6hrs at least for VLC or youtube only.Keyboard: Personal preference, but i like it as it is silent. Clicky enough but it is mushy compared to regular mechanical keyboards.USB C Charging: 65w charger takes 1.25 hrs to charge. Still haven't tested using 100w charger, I expect it to be around an hour as well. Laptop does prompt that it needs more power.Brightness: Really bright but makes me wonder if it can do better outdoors. I thnk its at 325 nits or something. XPS boasts of around 500 nits, might be great outdoors.Overall: Really happy choosing this over the G14. I wanted the G14 but it felt cheap and ""corny"" when I saw it in person. Again, personal preference and it may not really make sense to others.
",5.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on July 20, 2021"
Michael,"
Yes, finally!
","
A 14"" beat to the punch MBP style, PC thick bad boy. This is a beast. Save yourself the 3080 premier and the 3060 low end, grab this 3070 sweet spot and you will be very happy. Runs hot but not as hot as the 3080. Runs most, if not *ALL* games out there, also makes for a killer devOps box, or corp machine. I am happy! Best, most greatest size PC laptop I have ever owned.
",1.0 out of 5 stars,Verified Purchase,"Reviewed in the United States on November 27, 2021"
